date,fecha,oecd,per_ra,td,msr,cot,var_mens,var_feb,sal_prom,inpc,def,msr_val,cot_privado,pea_ocupada,sc_agri,sc_pesc,sc_exp,sc_manu,sc_elec,sc_cons,sc_comer,sc_aloj,sc_trans,sc_fin,sc_inmob,sc_ens,sc_ss,sc_com,sc_se,vsc_agri,vsc_pesc,vsc_exp,vsc_manu,vsc_elec,vsc_cons,vsc_comer,vsc_aloj,vsc_trans,vsc_fin,vsc_inmob,vsc_ens,vsc_ss,vsc_com,vsc_se
2018/01/01,2018-Ene,ARG,,,,9954959,,,28795,126.99,2.33,422998677125,6309334,,329071,13057,77964,1189548,74113,456611,1191342,292012,562386,163730,852660,389629,325683,390823,705,,,,,,,,,,,,,,,
2018/02/01,2018-Feb,ARG,,,-6,9922062,,,27725,130.06,2.27,397577174239,6308065,,332868,13201,78126,1190375,74148,457684,1185524,287669,561190,163300,852892,392831,325586,391938,733,,,,,,,,,,,,,,,
2018/03/01,2018-Mar,ARG,,9,3,9930404,,,29175,133.11,2.22,409736407288,6322588,11749000,334804,13234,78241,1193509,74176,464784,1182460,277248,562118,163562,854526,407161,326019,390021,725,,,,,,,,,,,,,,,
2018/04/01,2018-Abr,ARG,,,-3,9904431,,,29146,136.75,2.16,395726682367,6279701,,326379,12868,81346,1183960,74224,464819,1174957,270775,560289,163655,842696,411562,325297,386179,695,,,,,,,,,,,,,,,
2018/05/01,2018-May,ARG,,,-1,9886384,,,29453,139.59,2.12,389977106013,6251076,,318574,12539,81603,1176315,74235,464668,1171353,265772,559171,163831,838469,414265,325074,384538,669,,,,,,,,,,,,,,,
2018/06/01,2018-Jun,ARG,,10,38,9871324,-15060,,42512,144.81,2.04,539623075565,6216704,11642000,316949,12886,81376,1168001,74126,458577,1166307,263277,556664,163444,830294,416217,325139,382802,645,,,,,,,,,,,,,,,
2018/07/01,2018-Jul,ARG,,,-30,9861700,-9624,,30592,149.30,1.98,376535177554,6215106,,316890,12980,81502,1163472,74275,457457,1164950,266442,557268,163737,830708,413840,325324,385582,679,,,,,,,,,,,,,,,
2018/08/01,2018-Ago,ARG,,,-2,9874012,12312,,31293,155.10,1.91,370617289045,6212924,,317767,13321,81681,1158344,74038,457946,1163925,265709,555924,163509,829800,419038,325406,385834,682,,,,,,,,,,,,,,,
2018/09/01,2018-Sept,ARG,,9,-4,9839057,-34955,,32035,165.24,1.79,354315209294,6181243,11822000,317316,13452,81816,1149079,73894,451898,1155464,265303,553017,163114,826671,418781,325413,385272,753,,,,,,,,,,,,,,,
2018/10/01,2018-Oct,ARG,,,0,9859689,20632,,33587,174.15,1.70,353238549728,6194592,,327539,13777,82464,1142939,74071,453793,1152995,267480,552787,163059,831878,419577,325632,385821,780,,,,,,,,,,,,,,,
2018/11/01,2018-Nov,ARG,,,1,9849686,-10003,,35226,179.64,1.65,358461932520,6182767,,334047,13524,82699,1135919,74173,451908,1147359,269152,550171,162583,830039,417640,325738,387101,714,,,,,,,,,,,,,,,
2018/12/01,2018-Dic,ARG,,9,43,9851402,1716,,51732,184.26,1.60,511968249359,6167380,11793000,329556,12173,82900,1131445,74154,442267,1149386,273425,548592,161779,834127,412302,325851,388737,686,,,,,,,,,,,,,,,
2019/01/01,2019-Ene,ARG,,,-26,9827588,-23814,,39432,189.61,1.56,379945170666,6179231,,332218,13685,83730,1129115,74210,445469,1151733,286463,547157,162238,841471,396937,326575,387414,816,,,,,,,,,,,,,,,
